"Code","Description"
"BSCT:BCHS:CHST","Bread sticks with cheese"
"BSCT:CHBB:CHDS","Cheddars"
"BSCT:CHBB:RITZ","Crackers, Ritz biscuits"
"BSCT:CHBB:TUCO","Tuc"
"BSCT:CHBB:TUCS","Tuc sandwich"
"BSCT:CHCB:CSBF","Chocolate biscuit e.g. chocolate fingers, rocky bar"
"BSCT:CHMM:CHMH","Chocolate biscuit with marshmallow e.g. Wagon wheels"
"BSCT:CHMM:CHTC","Chocolate teacake e.g Tunnock's"
"BSCT:CHSB:CSBC","Chocolate biscuit with cream filling, coated in chocolate e.g penguin"
"BSCT:CHSB:CSBW","Chocolate biscuit with wafer and cream e.g blue ribband / taxi"
"BSCT:CKES:CKSC","Chocolate chip cookies"
"BSCT:CKES:CKSN","Chocolate chip cookies with nuts"
"BSCT:CKES:CKSO","Cookies, other flavours (not chocolate)"
"BSCT:CRBS:CRBC","Crunchy biscuits e.g Foxes crunch biscuits"
"BSCT:CRBS:GNGR","Gingernuts"
"BSCT:CRKR:CRCR","Cream crackers"
"BSCT:CRKR:JACB","Jacobs crackers"
"BSCT:CRKR:MGRN","Multigrain bread"
"BSCT:CRKR:RCCK","Rice cakes"
"BSCT:CRKR:RYVM","Ryvita multigrain"
"BSCT:CRKR:SLTN","Saltines"
"BSCT:CRKR:SPCR","Salt and pepper cracker"
"BSCT:CRKR:WAFR","Cornish wafer"
"BSCT:CRKR:WCRC","Cream crackers, wholemeal"
"BSCT:CRKR:WTRB","Water biscuits"
"BSCT:DGST:DGSC","Digestives half coated with chocolate"
"BSCT:DGST:DGSO","Digestive with oats e.g. hob nobs"
"BSCT:DGST:DGSP","Digestive biscuits, plain"
"BSCT:DGST:WHBP","Wholemeal biscuit, plain or flavoured"
"BSCT:FLPJ:FLJB","Flapjacks, bought"
"BSCT:FLPJ:FLJH","Flapjacks,  homemade"
"BSCT:FRTB:FBNW","Fruit biscuits e.g. fruit shortcake, garibaldi"
"BSCT:FRTB:FIGR","Fig rolls"
"BSCT:ICCW:PICW","Plain ice cream wafer, not filled"
"BSCT:ICDB:ICEG","Iced biscuits e.g. party rings, iced gems"
"BSCT:JFFA:JFFA","Jaffa Cakes"
"BSCT:SDWB:CBCF","Biscuit, crunchy with cream filling e.g. Fox's crunch creams"
"BSCT:SDWB:CTCM","Biscuits with cream filling e.g. Custard creams, bourbons"
"BSCT:SDWB:SDBB","Biscuits filled with Jam and cream e.g. happy faces"
"BSCT:SDWB:SDBJ","Biscuits filled with Jam e.g. jammy dodgers"
"BSCT:SHRT:BTRB","Butter biscuits e.g. butter thins"
"BSCT:SHRT:CRMS","Caramel shortcake"
"BSCT:SHRT:SHBR","Shortbread"
"BSCT:SHRT:SHRC","Short or sweet biscuits half coated with chocolate, e.g. chocolate Hob nobs"
"BSCT:SHRT:SHRT","Short sweet biscuits, e.g Shortcake biscuit, Lincoln"
"BSCT:SWBC:SWBH","Semi-sweet biscuit e.g. hovis biscuit"
"BSCT:WFRB:WFRB","Wafer Sandwich Biscuit, e.g.pink wafer biscuits"
"BTTR:BUTR:BTST","Butter, Salted"
"BTTR:BUTR:BTUS","Butter, Unsalted"
"BTTR:MRGN:DFSP","Dairy free margarine e.g. Pure"
"BTTR:MRGN:LFSD","Low fat Spread"
"BTTR:MRGN:OLVS","Olive spread e.g. Olivio"
"BTTR:MRGN:RFSD","Reduced fat Spread"
"BTTR:MRGN:SMAR","Soft margarine e.g stork"
"BTTR:MRGN:VLFS","Very low fat Spread"
"CAKE:BUNS:CNTB","Currant bun"
"CAKE:BUNS:ECLE","Eccles cake"
"CAKE:BUNS:HCRB","Hot cross buns"
"CAKE:BUNS:ROCK","Rock cakes"
"CAKE:BUNS:TTCK","Teacakes, toasted"
"CAKE:CHMR:CHMR","Chocolate Mini Rolls"
"CAKE:CKRC:CKRC","Chocolate Krispie Cakes"
"CAKE:CREM:ECFH","Eclairs (cream cake), homemade"
"CAKE:CREM:ECFN","Eclairs (cream cake), shop bought"
"CAKE:CSCK:FROZ","Cheesecake, shop bought"
"CAKE:CSCK:INDV","Cheesecake, fruit, individual (small)"
"CAKE:CSST:CSSP","Plain Croissants, not filled"
"CAKE:CSST:DANI","Danish pastries"
"CAKE:CSST:PAIN","Pain au chocolat"
"CAKE:DGNT:CDNT","Doughnut filled with custard"
"CAKE:DGNT:IDNT","Iced doughnut"
"CAKE:DGNT:JDNT","Doughnut filled with Jam"
"CAKE:DGNT:RDNT","Ring doughnut"
"CAKE:FRTP:FTPI","Fruit pie, individual"
"CAKE:FRTP:FTPS","Fruit pie, slice  from large pie"
"CAKE:FRYC:CFCI","Chocolate fairy cakes with icing"
"CAKE:FRYC:CFCN","Chocolate fairy cakes no icing"
"CAKE:FRYC:CMUF","Chocolate Chip Muffins"
"CAKE:FRYC:FCIC","Fairy cakes with icing"
"CAKE:FRYC:FCNI","Fairy cakes no icing"
"CAKE:GATX:CHGT","Chocolate gateau"
"CAKE:GATX:FTGT","Fruit Gateaux"
"CAKE:IBUN:IBUN","Iced buns"
"CAKE:SCNS:CHSC","Scone, cheese"
"CAKE:SCNS:PLSC","Plain scones"
"CAKE:SCNS:PTSC","Fruit scones"
"CAKE:SLBC:BTNB","Battenberg cake"
"CAKE:SLBC:CHSL","Chocolate slice"
"CAKE:SLBC:CROT","Carrot cake (with icing)"
"CAKE:SLBC:CTCK","Carrot cake"
"CAKE:SLBC:CTSL","Country slice (cake bar with sultanas)"
"CAKE:SLBC:FTCK","Fruit cake"
"CAKE:SLBC:GNGH","Gingerbread / Gingercake, homemade"
"CAKE:SLBC:GNGP","Gingerbread / Gingercake, purchased"
"CAKE:SLBC:ILSL","Iced lemon slices"
"CAKE:SLBC:MDCK","Madeira cake"
"CAKE:SPNG:CFDG","Chocolate fudge cake"
"CAKE:SPNG:CHCK","Chocolate cake"
"CAKE:SPNG:CSCB","Chocolate sponge cake with buttercream filling"
"CAKE:SPNG:CSCN","Chocolate sponge cake with no filling"
"CAKE:SPNG:LOWF","Reduced fat Cake"
"CAKE:SPNG:SBCJ","Sponge cake with jam and buttercream filling"
"CAKE:SPNG:SCBC","Sponge cake with buttercream filling"
"CAKE:SPNG:SCNF","Sponge cake with no filling"
"CAKE:SPNG:SJCF","Sponge cake filled with jam"
"CAKE:SPNG:SWIS","Swiss roll"
"CAKE:TART:BTRT","Bakewell tart / Frangipane tart"
"CAKE:TART:CSTL","Custard tart, slice of large tart"
"CAKE:TART:CSTS","Custard tarts, individual"
"CAKE:TART:JTRT","Jam tarts"
"CAKE:TART:TRCL","Treacle"
"CARB:BULG:BULG","Bulgur wheat"
"CARB:CSCS:CSCS","Couscous"
"CARB:DUMP:DUMP","Dumplings"
"CARB:NDLS:CKCM","Chicken chow mein"
"CARB:NDLS:ENDL","Noodles, boiled (not supernoodles)"
"CARB:NDLS:FRDN","Noodles fried (not supernoodles)"
"CARB:NDLS:PTSV","Pot noodle/ Pot rice"
"CARB:NDLS:SNDL","Supernoodles"
"CARB:PSTA:FRSF","Filled pasta e.g tortellini/ ravioli"
"CARB:PSTA:FRSH","Pasta (no sauce)"
"CARB:PSTA:MCRC","Macaroni cheese, not canned"
"CARB:PSTA:MCRN","Macaroni (no sauce)"
"CARB:PSTA:MCRT","Macaroni cheese, tinned"
"CARB:PSTA:PSAL","Pasta salad"
"CARB:PSTA:PSRS","Spaghetti / Pasta Shapes, tinned in tomato sauce, reduced sugar"
"CARB:PSTA:PSTM","Ravioli in tomato sauce, tinned"
"CARB:PSTA:PSTT","Spaghetti Hoops / Pasta Shapes, tinned in tomato sauce"
"CARB:PSTA:SPGH","Spaghetti"
"CARB:PSTA:SPGS","Spaghetti bolognaise"
"CARB:PSTA:SPGW","Wholemeal Spaghetti"
"CARB:RICE:BRCE","Brown rice"
"CARB:RICE:BSRC","Basmati rice"
"CARB:RICE:CKRT","Chicken risotto"
"CARB:RICE:ECRC","Easy cook rice"
"CARB:RICE:EGFR","Egg fried rice"
"CARB:RICE:PLAU","Plain Pilau Rice"
"CARB:RICE:PLVG","Vegetable Pilau Rice"
"CARB:RICE:RSAL","Rice salad"
"CARB:RICE:RSTO","Plain Risotto"
"CARB:RICE:SVRC","Savoury rice"
"CARB:RICE:VGRT","Vegetable Risotto"
"CARB:RICE:WRCE","White rice"
"CBAR:ADMT:EIGT","After eight mints"
"CBAR:BARS:AERO","Wispa/Aero, other chocolate bars with bubbles"
"CBAR:BARS:BLOC","Chocolate - pieces / squares"
"CBAR:BARS:BNTI","Bounty bar"
"CBAR:BARS:BOST","Boost bar"
"CBAR:BARS:CBAS","Chocolate bar"
"CBAR:BARS:CDMB","Cadbury Dairy Milk chocolate bar"
"CBAR:BARS:CHOM","Chomp chocolate bar"
"CBAR:BARS:CNCH","Crunchie"
"CBAR:BARS:CNUT","Chocolate bar with nuts"
"CBAR:BARS:CPLN","Plain chocolate / Dark chocolate"
"CBAR:BARS:CWHI","White Chocolate"
"CBAR:BARS:CWRL","Curly Wurly bar"
"CBAR:BARS:DEKR","Double Decker"
"CBAR:BARS:DRFT","Drifter bar"
"CBAR:BARS:FLAK","Cadbury Flake chocolate bar"
"CBAR:BARS:FRDO","Freddo"
"CBAR:BARS:FTNT","Fruit and nut milk chocolate"
"CBAR:BARS:FUDG","Fudge bar"
"CBAR:BARS:GALX","Galaxy chocolate bar"
"CBAR:BARS:KBNO","Kinder Bueno"
"CBAR:BARS:KTKT","Kit kat"
"CBAR:BARS:LION","Lion bar"
"CBAR:BARS:MARS","Mars bar"
"CBAR:BARS:MKYB","Milky bar"
"CBAR:BARS:MWAY","Milky way"
"CBAR:BARS:PCNC","Picnic Chocolate Bar"
"CBAR:BARS:SNIC","Snickers"
"CBAR:BARS:TFFE","Toffee Crisp bar"
"CBAR:BARS:TOPC","Topic"
"CBAR:BARS:TWRL","Twirl chocolate bar"
"CBAR:BARS:WMKY","White chocolate e.g Milky Bar or Dream"
"CBAR:CARM:MNCH","Munchies"
"CBAR:CARM:TWIX","Twix"
"CBAR:CEGG:CEGG","Creme eggs / Mintola"
"CBAR:CSWT:CCNT","Nuts covered in Chocolate or Candy"
"CBAR:CSWT:CFAF","Chocolates e.g. Roses or Quality Street"
"CBAR:CSWT:MCRS","Milk chocolate raisins"
"CBAR:CSWT:MMSM","M & Ms / Smarties"
"CBAR:SWTS:CSHP","Chocolate shapes, milk e.g mice/ coins"
"CBAR:SWTS:MBTN","Milk chocolate Buttons"
"CBAR:SWTS:MLTR","Maltesers"
"CBAR:SWTS:MNST","Minstrels"
"CBAR:SWTS:WBTN","White chocolate Buttons"
"CBAR:SWTS:WSHP","Chocolate shapes, white e.g. mice/ coins"
"CHSE:CRMC:FFCC","Full fat cream cheese"
"CHSE:CRMC:LFCC","Cream cheese, low fat"
"CHSE:CRMC:MFCC","Cream cheese"
"CHSE:HRDC:CHED","Cheddar cheese"
"CHSE:HRDC:CHES","Cheshire Cheese"
"CHSE:HRDC:CHMP","Cheddar cheese, minis / snack pack"
"CHSE:HRDC:CSMP","Cheshire cheese, minis / snack pack"
"CHSE:HRDC:DBGL","Double Gloucester cheese"
"CHSE:HRDC:DGMP","Double Gloucester cheese, minis/snack pack"
"CHSE:HRDC:EDAM","Edam cheese"
"CHSE:HRDC:EDMP","Edam chese, minis / snack pack e.g. babybel"
"CHSE:HRDC:LCMP","Red leicester cheese, minis/ snack pack"
"CHSE:HRDC:LEIC","Leicestershire cheese"
"CHSE:HRDC:LFHC","Cheddar/cheshire cheese low fat"
"CHSE:HRDC:LFMP","Cheddar/cheshire cheese low fat, minis / snack pack"
"CHSE:HRDC:PARM","Parmesan Cheese"
"CHSE:HRDC:STIL","Stilton cheese"
"CHSE:HRDC:WENS","Wensleydale cheese"
"CHSE:SFTC:BRIE","Brie"
"CHSE:SFTC:CCFL","Cottage cheese with additions e.g pineapple"
"CHSE:SFTC:CCLF","Cottage cheese, low fat"
"CHSE:SFTC:CTCH","Cottage Cheese, plain"
"CHSE:SFTC:FETA","Feta Cheese"
"CHSE:SFTC:MOZZ","Mozzarella Cheese"
"CHSE:SPRD:CHSP","Cheese spread e.g dairylea, laughing cow"
"CHSE:SPRD:CSLF","Cheese spreads low fat e.g dairylea light, philadelphia light"
"CHSE:SPRD:CSLI","Cheese slices or blocks e.g. kraft singles"
"CHSE:SPRD:CSPL","Cheese spreads flavoured e.g primula, boursin"
"CHSE:SPRD:CTRF","Cheese triangles flavoured e.g primula, boursin"
"COND:BBFS:BBQB","BBQ sauce, on bread"
"COND:BBFS:BBQS","BBQ sauce"
"COND:BBFS:BWNB","Brown sauce, on bread"
"COND:BBFS:BWNS","Brown sauce"
"COND:BBFS:FTSB","Brown sauce e.g. HP, on bread"
"COND:BBFS:FTSC","Brown sauce e.g. HP fruity"
"COND:CHLL:CHLL","Chilli sauce (dollop)"
"COND:CHLL:CSSN","Chilli sauce, (in spoonfuls)"
"COND:CHLL:SCHS","Sweet chilli sauce (dollop)"
"COND:CHLL:SCSS","Sweet chilli sauce, spooned"
"COND:CRNB:CRNB","Cranberry sauce"
"COND:CUBE:GRGR","Gravy, made from granules"
"COND:CUBE:GRHM","Gravy, homemade"
"COND:CUBE:STKW","Stock, any flavour, made up with water"
"COND:MAYO:MAYB","Mayonnaise on bread"
"COND:MAYO:MAYO","Mayonnaise (dollop)"
"COND:MAYO:MYLB","Light Mayonnaise, on bread"
"COND:MAYO:MYOL","Light Mayonnaise (dollop)"
"COND:MNTS:MNTS","Mint Sauce"
"COND:MTRD:GMST","Mustard with grains"
"COND:MTRD:MGOB","Mustard with grains on bread"
"COND:MTRD:SMOB","Smooth mustard on bread"
"COND:MTRD:SMST","Smooth mustard e.g. Dijon, Colemans"
"COND:RELS:CORN","Cornetto / king cone"
"COND:RELS:RBRG","???"
"COND:SEAS:SEAS","Seafood sauce (dollop)"
"COND:SEAS:SFSB","Seafood sauce on bread"
"COND:SLDC:SCLB","Light Salad cream, on bread"
"COND:SLDC:SCOB","Salad cream, on bread"
"COND:SLDC:SDCL","Light Salad cream"
"COND:SLDC:SLDC","Salad Cream"
"COND:SOYS:SOYS","Soy sauce"
"COND:TKET:TKET","Tomato ketchup (dollop)"
"COND:TKET:TKSB","Tomato ketchup, on bread"
"COND:VNGR:BVGR","Balsamic vinegar"
"COND:VNGR:CVGR","Cider vinegar"
"COND:VNGR:MVGR","Malt vinegar e.g. Sarsons"
"COND:VNGR:WVGR","White and red wine vinegar"
"COND:WHTE:CHSS","Cheese sauce"
"COND:WHTE:SWSS","White sauce"
"COND:WRCT:WRCT","Worcestershire sauce"
"CONF:BOIL:BDSS","Boiled sweets with soft centre, e.g Soothers"
"CONF:BOIL:BDSW","Boiled sweets / barley sugar / rock / throat sweets"
"CONF:CHEW:SKIT","Coated chew sweets e.g skittles / tooty frooties"
"CONF:CHEW:STAR","Starbursts / chewits / chews / pacers"
"CONF:CHOC:ROLO","Rolos"
"CONF:CNDY:LALS","Liquorice allsorts"
"CONF:CNDY:PCRM","Peppermint creams / dolly mixtures"
"CONF:CNDY:SHER","Sherbert sweets e.g Fizzers / love hearts / parma violets"
"CONF:GUMS:CGMS","Chewing gum, sugar free"
"CONF:GUMS:CGUM","Chewing gum, not sugar free"
"CONF:JLYS:FGUM","Fruit gums / winegums"
"CONF:JLYS:FPST","Jelly tots /  fruit pastilles"
"CONF:JLYS:JBAB","Jelly babies"
"CONF:JLYS:JTOT","???"
"CONF:JLYS:LQRC","Liquorice shapes"
"CONF:MHMW:FOAM","Foam sweets e.g. shrimps"
"CONF:MHMW:MMAL","Marshmallows"
"CONF:MINT:ESTM","Extra strong mints"
"CONF:MINT:MIMP","Mint imperials"
"CONF:MINT:POLO","Polos"
"CONF:MINT:SMNT","Soft mints"
"CONF:TFFS:CFUG","Fudge"
"CONF:TFFS:MTOF","Mixed toffees / toffos / liquorice toffees"
"CONF:TFFS:NUGT","Nougat"
"CRLS:CCFK:CHCF","Choco flakes"
"CRLS:CCFK:CNTC","Crunchy nut cornflakes"
"CRLS:CCFK:FRST","Frosties"
"CRLS:CRBR:CCSB","Cereal Bar, chewy e.g. Tracker"
"CRLS:CRBR:CRCB","Crunchy cereal bar, e.g. Frosties cereal bar"
"CRLS:CRBR:NUTR","Nutrigrain bar"
"CRLS:FCRL:BRNF","Branflakes"
"CRLS:FCRL:BRNS","Branflakes with sultanas"
"CRLS:FCRL:CRNF","Cornflakes"
"CRLS:FCRL:FRFB","Fruit 'n' fibre"
"CRLS:FCRL:SLTB","Sultana bran"
"CRLS:FCRL:SPCK","Special K cereal"
"CRLS:FCRL:WTAF","Weetaflake"
"CRLS:FCRL:WTFR","Weetaflake 'n' raisin"
"CRLS:HPCR:CHRO","Cheerios"
"CRLS:HPCR:HNUT","Honey Nut Loops"
"CRLS:HPCR:WETO","Wheetos"
"CRLS:MSLI:MSLI","Muesli"
"CRLS:OATC:OATC","Crunchy Oat Cereal, e.g. Clusters"
"CRLS:OTBX:OTBM","Oatibix minis"
"CRLS:OTBX:OTBX","Oatibix"
"CRLS:PRDG:PRDW","Porridge, made with water"
"CRLS:PRDG:PRSS","Porridge, made with milk"
"CRLS:RCRP:COCO","Coco Pops"
"CRLS:RCRP:RCKP","Rice Krispies"
"CRLS:RCRP:RICI","Ricicles"
"CRLS:RDBR:RDBW","Ready brek, made up with water"
"CRLS:RDBR:RDSS","Ready brek, made up with milk"
"CRLS:SGPC:CRNP","Corn pops"
"CRLS:SGPC:LCYC","Lucky charms"
"CRLS:SGPC:NESQ","Nesquik chocolate Cereal"
"CRLS:SGPC:SGPF","Sugar puffs"
"CRLS:SHRD:FSHR","Frosted shreddies"
"CRLS:SHRD:SHRD","Shreddies"
"CRLS:SHWH:SHWB","Shredded wheat,  bitesize"
"CRLS:SHWH:SHWH","Shredded Wheat"
"CRLS:WTBX:WTBM","Weetabix minis"
"CRLS:WTBX:WTBX","Weetabix"
"CRPS:CRPS:FRAZ","Frazzle Crisps"
"CRPS:CRPS:PRIN","Pringle Crisps, all flavours"
"CRPS:CRSP:CCSP","Crinkle cut crisps, any flavour"
"CRPS:CRSP:CPST","Chipsticks, other potato and corn sticks"
"CRPS:CRSP:FNFR","Walkers French Fries (crisps)"
"CRPS:CRSP:LFCP","Low fat Crisps, all flavours"
"CRPS:CRSP:MCSP","Monster Munch Crisps"
"CRPS:CRSP:PCSP","Potato crisps, any flavour"
"CRPS:CRSP:PRNG","Potato rings e.g. Hula hoops/ Hoop crisps"
"CRPS:CRSP:PTPF","Potato puffs"
"CRPS:CRSP:SCSP","Square crisps"
"CRPS:CRSP:SKIP","Corn snacks e.g Skips, all flavours"
"CRPS:CRSP:TCCP","Thick crinkle cut crisps e.g. McCoy's"
"CRPS:CRSP:WAKS","Walker Sensation Crisps, all flavours"
"CRPS:CRSP:WALK","Walkers Crisps all flavours"
"CRPS:CRSP:WCRN","Wheat crunchies"
"CRPS:NUTS:ALMD","Almonds"
"CRPS:NUTS:BRZL","Brazil nuts"
"CRPS:NUTS:CASR","Cashew nuts"
"CRPS:NUTS:FRNT","Dried fruit and nut mix"
"CRPS:NUTS:PNTS","Peanuts"
"CRPS:NUTS:PSTC","Pistachio nuts"
"CRPS:NUTS:SEDS","Seeds"
"CRPS:NUTS:WALN","Walnuts"
"CRPS:POPC:CPOP","Popcorn, coated in chocolate"
"CRPS:POPC:LPOP","Popcorn, salted"
"CRPS:POPC:PPOP","Plain Popcorn"
"CRPS:POPC:SPOP","Sweet Popcorn"
"CRPS:POPC:TPOP","Popcorn, coated in toffee"
"CRPS:PPDM:PPDM","Pappadums"
"CRPS:PRZL:PRZL","Pretzels"
"CRPS:PWNC:PWNC","Prawn crackers"
"CRPS:TTCH:DCSP","Doritos Crisps, all flavours"
"CRPS:TWIG:TWIG","Twiglets"
"DRNK:CFFS:CFFB","Black coffee"
"DRNK:CFFS:CFFK","Coffee made with skimmed milk"
"DRNK:CFFS:CFFM","Coffee made with semi skimmed milk"
"DRNK:CFFS:CFFW","Coffee made with whole milk"
"DRNK:FJCE:APJC","Apple juice - in a carton / bottle / can"
"DRNK:FJCE:APLJ","Apple juice - in a glass"
"DRNK:FJCE:CNBJ","Cranberry juice - in a glass"
"DRNK:FJCE:CNJC","Cranberry juice - in a carton/ bottle"
"DRNK:FJCE:OJCB","Orange juice, not freshly squeezed - in a carton/ bottle"
"DRNK:FJCE:ORGF","Orange juice, freshly squeezed - in a glass"
"DRNK:FJCE:ORGJ","Orange juice, not freshly squeezed - in a glass"
"DRNK:FJCE:ORJB","Orange juice, freshly squeezed - in a carton/ bottle"
"DRNK:FJCE:PAPJ","Pineapple juice - in a glass"
"DRNK:FJCE:PNJB","Pineapple juice - in a carton/ bottle"
"DRNK:FJCE:TOMB","Tomato juice - in a carton/ bottle"
"DRNK:FJCE:TOMT","Tomato juice - in a glass"
"DRNK:HCHC:DCHR","Hot chocolate made up with water"
"DRNK:HCHC:DCHS","Hot chocolate made up with milk"
"DRNK:HCHC:DCLR","Hot chocolate made up with water, low calorie"
"DRNK:HCHC:DCLS","Hot chocolate low calorie made up with milk"
"DRNK:HCHC:HRLK","Horlicks"
"DRNK:SMTH:BSMT","Fruit smoothie - in a glass"
"DRNK:SMTH:SMTB","Fruit smoothie - in a carton/ bottle"
"DRNK:SMTH:YOGB","Fruit and yoghurt smoothie - in a  carton/ bottle"
"DRNK:SMTH:YOGG","Fruit and yoghurt smoothie - in a glass"
"DRNK:SOFT:AJCS","Apple juice, sparkling - in a glass"
"DRNK:SOFT:AJSB","Apple juice, sparkling - in a carton / bottle / can"
"DRNK:SOFT:BCJB","Blackcurrant squash, ready to drink, e.g. Ribena - in a carton / bottle"
"DRNK:SOFT:BCSQ","Blackcurrant squash, ready to drink, e.g. Ribena - in a glass"
"DRNK:SOFT:BWSQ","Barley water, ready to drink, diluted"
"DRNK:SOFT:COLA","Cola, not diet, any flavour e.g. cherry cola etc - in a glass"
"DRNK:SOFT:COLB","Cola, not diet, any flavour e.g. cherry cola etc - in a carton / bottle / can"
"DRNK:SOFT:CPJB","Lemon / Pineapple juice, (squash) Already diltued and ready to drink - in a carton/ bottle"
"DRNK:SOFT:CPJC","Lemon  / Pineapple juice, (squash) Already diluted and ready to drink - in a glass"
"DRNK:SOFT:DCLA","Diet cola, any flavour e.g. diet cherry coke - in a glass"
"DRNK:SOFT:DCSB","Diet cola, any flavour e.g. diet cherry coke - in a carton / bottle / can"
"DRNK:SOFT:DIBB","Diet irn bru - in a carton / bottle / can"
"DRNK:SOFT:DINB","Diet irn bru - in a glass"
"DRNK:SOFT:DLMB","Diet lemonade - in a  carton / bottle / can"
"DRNK:SOFT:DLMD","Diet lemonade - in a glass"
"DRNK:SOFT:DRPB","Dr Pepper - in a carton/ bottle/ can"
"DRNK:SOFT:DRPR","Dr Pepper - in a glass"
"DRNK:SOFT:FFJB","Fruit flavour juice, ready to drink - in a carton / bottle"
"DRNK:SOFT:FFJC","Fruit flavour juice, ready to drink - in a glass"
"DRNK:SOFT:FFJD","Fizzy fruit juice drink- in a glass"
"DRNK:SOFT:FZFB","Fizzy fruit juice drink- in a carton / bottle"
"DRNK:SOFT:HJCB","High juice drink, ready to drink - in a carton / bottle"
"DRNK:SOFT:HJCE","High juice drink, ready to drink-  in a glass"
"DRNK:SOFT:INBB","Irn bru - in a carton / bottle / can"
"DRNK:SOFT:IRNB","Irn bru - in a glass"
"DRNK:SOFT:LCZD","Lucozade, in a glass"
"DRNK:SOFT:LJSB","Lime juice cordial, ready to drink already diluted - in a carton / bottle"
"DRNK:SOFT:LJSQ","Lime juice cordial, ready to drink, already diluted - in a glass"
"DRNK:SOFT:LMNB","Lemonade - in a carton / bottle / can"
"DRNK:SOFT:LMND","Lemonade - in a glass"
"DRNK:SOFT:LUCB","Lucozade - in a carton / bottle"
"DRNK:SOFT:MFJC","Mixed fruit juice, ready to drink - in a glass"
"DRNK:SOFT:MFRB","Mixed fruit juice, ready to drink - in a carton / bottle"
"DRNK:SOFT:OSQB","Orange squash, ready to drink, diluted - in a carton / bottle"
"DRNK:SOFT:OSQU","Orange squash, ready to drink, diluted - in a glass"
"DRNK:SOFT:SNUB","Sprite/ 7 up - in a carton / bottle"
"DRNK:SOFT:SNUP","Sprite/ 7 up - in a glass"
"DRNK:TEAS:BTEA","Black tea"
"DRNK:TEAS:HTEA","Herbal tea"
"DRNK:TEAS:TEAK","Tea made with skimmed milk"
"DRNK:TEAS:TEAM","Tea made with semi skimmed milk"
"DRNK:TEAS:TEAW","Tea made with whole milk"
"DRNK:WTRS:FMWB","Water, still or fizzy - in a  carton / bottle"
"DRNK:WTRS:FMWT","Water, still or fizzy - in a glass"
"DRNK:WTRS:MWTR","???"
"DRNK:WTRS:SMWB","Mineral water, still or carbonated - in a carton / bottle"
"DRNK:WTRS:TWTR","Water (from tap)"
"EGGD:EGGS:BEGG","Boiled eggs"
"EGGD:EGGS:EOIL","Fried egg"
"EGGD:EGGS:PEGG","Poached eggs"
"EGGD:EGGS:SEGS","Scrambled egg"
"EGGD:OMLT:OMCH","Cheese Omelette"
"EGGD:OMLT:PLAN","Plain Omelette"
"EGGD:QCHE:QLMT","Quiche lorraine  (with meat)"
"EGGD:QCHE:QUCO","Cheese and Onion Quiche (with no meat)"
"EGGD:SCTH:SCTH","Scotch eggs"
